Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,DigiKey
37,"Resistor, small symbol",R_Small,R2 R30,47k,Resistor,2,http://www.vishay.com/docs/28724/mrs16m25.pdf,BC4178CT-ND
38,"Resistor, small symbol",R_Small,R18 R19,49.9,Resistor,2,http://www.vishay.com/docs/28724/mrs16m25.pdf,BC4639CT-ND
39,"Resistor, small symbol",R_Small,R12 R14 R15 R16 R17 R33,4k7,Resistor,6,http://www.vishay.com/docs/28724/mrs16m25.pdf,BC4176CT-ND
40,"Resistor, small symbol",R_Small,R4,510,Resistor,1,http://www.vishay.com/docs/28724/mrs16m25.pdf,BC4190CT-ND
41,"Resistor, small symbol",R_Small,R1 R5,6k8,Resistor,2,http://www.vishay.com/docs/28724/mrs16m25.pdf,BC4239CT-ND
42,"Resistor, small symbol",R_Small,R20 R24 R25 R29,8k2,Resistor,4,http://www.vishay.com/docs/28724/mrs16m25.pdf,BC4264CT-ND
43,Potentiometer,R_POT,RV2,100k,Potentiometer_Bourns_3006P_Horizontal,1,https://www.bourns.com/docs/Product-Datasheets/3006.pdf,3006P-104LF-ND
44,Potentiometer,R_POT,RV1,50k,Potentiometer_Bourns_3006P_Horizontal,1,https://www.bourns.com/docs/Product-Datasheets/3006.pdf,3006P-503LF-ND
45,quad 2-input NAND gate,7400,U6 U7,74HCT00,DIP-14,2,http://www.ti.com/lit/ds/symlink/cd74hc74.pdf,296-2081-5-ND
46,hex inverter,74HC04,U5 U9,74HCT04,DIP-14,2,http://www.ti.com/lit/ds/symlink/cd74hc04.pdf,296-2083-5-ND
47,Decoder 3 to 8 active low outputs,74LS138,U8,74HCT138,DIP-16_W7.62mm_Socket,1,http://www.ti.com/lit/ds/symlink/cd74hc138.pdf,296-2091-5-ND
48,8-bit Buffer/Line Driver 3-state,74HC244,U11,74HCT244,DIP-20_W7.62mm_Socket,1,http://www.ti.com/lit/ds/symlink/cd74hc240.pdf,296-2104-5-ND
49,"Dual D Flip-flop, Set & Reset",74HC74,U4,74HCT74,DIP-14,1,http://www.ti.com/lit/ds/symlink/cd74hc74.pdf,296-2132-5-ND
50,"Single Rail-to-Rail High Output Current Operational Amplifiers, SOIC-8",OP179GS,U13,AD744,DIP-8,1,http://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf,AD744KNZ-ND
51,,AD790,U3,AD790,DIP-8,1,https://www.analog.com/media/en/technical-documentation/data-sheets/AD790.pdf,AD790JNZ-ND
52,Dual operational amplifier,Opamp_Dual_Generic,U1,AD826,DIP-8,1,https://www.analog.com/media/en/technical-documentation/data-sheets/AD826.pdf,AD826ANZ-ND
53,"Dual High Speed, Low Power, Low Distortion, Voltage Feedback Amplifiers, DIP-8/SOIC-8",LM6172,U15,AD826,DIP-8,1,https://www.analog.com/media/en/technical-documentation/data-sheets/AD826.pdf,AD826ANZ-ND
54,,ADC-AD1674,U10,ADC-AD1674,DIP-28_W15.24mm_Socket,1,https://www.analog.com/media/en/technical-documentation/data-sheets/AD1674.pdf,AD1674JNZ-ND
55,"Single SPST Monolithic CMOS Analog Switch, normally OFF, 20Ohm Ron, DIP-8",DG418xJ,U2,DG418,DIP-8,1,http://www.vishay.com/docs/70051/dg417.pdf,DG418DJ-E3-ND
56,"Dual High Speed, Low Power, Low Distortion, Voltage Feedback Amplifiers, DIP-8/SOIC-8",LM6172,U12 U14,LM6172,DIP-8,2,http://www.ti.com/lit/ds/symlink/lm6172.pdf,LM6172IN/NOPB-ND





Component Groups:,56
Component Count:,115
Fitted Components:,115
Number of PCBs:,1
Total components:,115
Schematic Version:,1
Schematic Date:,2017-11-28
BoM Date:,Tue 08 Jan 2019 11:19:12 PM EST
Schematic Source:,/home/moritz/Sync/gdrive_princeton/workprojects/vintageibx/appleIIdev/ibxII-hardware/adcboard/adcboard.sch
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1
